LowCarbIm_GPFm1,LowCarbIm+LAInsulinIm2+FAInsulinIm2_GPFm1,NormalCarbIm_GPFm1,LowCarbIm+LAInsulinIm1+FAInsulinIm2_GPFm1,LowCarbIm+LAInsulinIm2+FAInsulinIm1_GPFm1,LowCarbIm+LAInsulinIm1+FAInsulinIm1_GPFm1,VeryLowCarbIm+LAInsulinIm2+FAInsulinIm1_GPFm1,VeryLowCarbIm+LAInsulinIm1+FAInsulinIm2_GPFm1,NormalCarbIm+LAInsulinIm1+FAInsulinIm1_GPFm1,HighCarbIm+LAInsulinIm1+FAInsulinIm2_GPFm1,FAInsulinIm1_GPFm1,VeryLowCarbIm+LAInsulinIm2+FAInsulinIm2_GPFm1,NormalCarbIm+LAInsulinIm2+FAInsulinIm1_GPFm1,HighCarbIm+LAInsulinIm2+FAInsulinIm2_GPFm1,HighCarbIm_GPFm1,LAInsulinIm1_GPFm1,LAInsulinIm2_GPFm1,NormalCarbIm+LAInsulinIm2+FAInsulinIm2_GPFm1,FAInsulinIm2_GPFm1,VeryLowCarbIm+LAInsulinIm1+FAInsulinIm1_GPFm1,VeryLowCarbIm_GPFm1,NormalCarbIm+LAInsulinIm1+FAInsulinIm2_GPFm1,HighCarbIm+LAInsulinIm1+FAInsulinIm1_GPFm1,HighCarbIm+LAInsulinIm2+FAInsulinIm1_GPFm1,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.404823221323369,0.0,0.0,0.0,10.404823221323369,9.071344465375347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.541264180212494,9.541264180212494,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.251660582152738,0.0,0.0,0.0,29.296020329040033,27.912897783807068,0.0,2.863844820321418,0.0,0.0,0.0,0.0,0.0,27.151359445489476,28.16109351633534,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.251660582152738,0.0,0.0,0.0,29.296020329040033,27.912897783807068,0.0,2.863844820321418,0.0,0.0,0.0,0.0,0.0,27.151359445489476,28.16109351633534,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.63598805415643,0.809613401249095,0.0,0.0,43.2058093476181,41.50934736230363,0.0,2.863844820321418,0.0,0.809613401249095,0.0,0.0,0.0,38.535686917493166,42.07088253491341,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.232988584255224,12.610024073994225,0.0,0.0,56.802809877716896,55.168935898297065,11.921256699168481,14.7851015194899,0.0,14.914921538237365,0.0,0.0,0.0,53.5154965120735,57.05069212949374,
7.977084372970751,4.77157360848588,14.399539229832328,2.3596548520427802,4.77157360848588,2.3596548520427802,4.77157360848588,2.3596548520427802,11.753249879654817,67.40099419848428,22.096421403640562,4.77157360848588,12.969359925685609,70.4135844759279,69.06581971134284,20.138873536752044,25.780826547584894,12.969359925685609,24.401318867883703,2.3596548520427802,7.977084372970751,11.753249879654817,67.68350212630256,70.66146672770475,
7.977084372970751,4.77157360848588,14.399539229832328,2.3596548520427802,4.77157360848588,2.3596548520427802,4.77157360848588,2.3596548520427802,11.753249879654817,67.40099419848428,22.096421403640562,4.77157360848588,12.969359925685609,70.4135844759279,69.06581971134284,20.138873536752044,34.31756498203282,12.969359925685609,24.401318867883703,2.3596548520427802,7.977084372970751,11.753249879654817,67.68350212630256,70.66146672770475,
7.977084372970751,4.77157360848588,15.531285740393628,2.3596548520427802,4.77157360848588,2.3596548520427802,4.77157360848588,2.3596548520427802,11.753249879654817,80.29057898518698,31.857335439139234,4.77157360848588,13.770318004047482,85.82758358455325,84.27115597603066,20.138873536752044,43.117300797169094,13.770318004047482,34.162232903382375,2.3596548520427802,7.977084372970751,11.753249879654817,80.57308691300526,86.0754658363301,
