LowCarbIm_GPFm1,LowCarbIm+LAInsulinIm2+FAInsulinIm2_GPFm1,NormalCarbIm_GPFm1,LowCarbIm+LAInsulinIm1+FAInsulinIm2_GPFm1,LowCarbIm+LAInsulinIm2+FAInsulinIm1_GPFm1,LowCarbIm+LAInsulinIm1+FAInsulinIm1_GPFm1,VeryLowCarbIm+LAInsulinIm2+FAInsulinIm1_GPFm1,VeryLowCarbIm+LAInsulinIm1+FAInsulinIm2_GPFm1,NormalCarbIm+LAInsulinIm1+FAInsulinIm1_GPFm1,HighCarbIm+LAInsulinIm1+FAInsulinIm2_GPFm1,FAInsulinIm1_GPFm1,VeryLowCarbIm+LAInsulinIm2+FAInsulinIm2_GPFm1,NormalCarbIm+LAInsulinIm2+FAInsulinIm1_GPFm1,HighCarbIm+LAInsulinIm2+FAInsulinIm2_GPFm1,HighCarbIm_GPFm1,LAInsulinIm1_GPFm1,LAInsulinIm2_GPFm1,NormalCarbIm+LAInsulinIm2+FAInsulinIm2_GPFm1,FAInsulinIm2_GPFm1,VeryLowCarbIm+LAInsulinIm1+FAInsulinIm1_GPFm1,VeryLowCarbIm_GPFm1,NormalCarbIm+LAInsulinIm1+FAInsulinIm2_GPFm1,HighCarbIm+LAInsulinIm1+FAInsulinIm1_GPFm1,HighCarbIm+LAInsulinIm2+FAInsulinIm1_GPFm1,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3886.730841877739,3886.730841877739,3886.730841877739,3886.730841877739,3886.730841877739,3886.730841877739,3886.730841877739,3886.730841877739,3886.730841877739,3886.730841877739,3886.730841877739,3886.730841877739,3886.730841877739,3886.730841877739,3886.730841877739,3886.730841877739,3886.730841877739,3886.730841877739,3886.730841877739,3886.730841877739,3886.730841877739,3886.730841877739,3886.730841877739,3886.730841877739,
5579.91754422618,5375.222245817846,4326.668339130097,5302.264501195201,5386.352889673528,5313.790442743007,5386.352889673528,5302.264501195201,4249.52531706381,5977.938374890104,7714.6680408026405,5375.222245817846,4559.314282838381,6021.504250956024,6237.157846755246,3931.072105132907,7557.385552229824,4537.557120869246,7843.944441654783,5313.790442743007,5579.91754422618,4221.148998192962,5981.489262384099,26004.59423706671,
6603.39118363671,6423.392673713176,4572.921814091547,6350.434929090531,6458.8221922148305,6386.259745284309,6458.8221922148305,6350.434929090531,4516.19615571163,5980.601857748195,9313.992038006438,6423.392673713176,4825.985121486201,6024.167733814115,6237.39257219969,5203.0499661877375,8829.363413284655,4787.5401180561375,9388.936807107193,6386.259745284309,6603.39118363671,4471.131995379853,5981.6033622947025,26004.708336977314,
6637.534273016454,6471.301148903597,4669.580908966294,6458.720241351769,6504.743684884239,6491.501293734413,6504.743684884239,6458.720241351769,4601.7330194300675,6214.328610364025,9575.405825484742,6471.301148903597,4910.680448914962,6297.8807050046,6517.737912019103,5465.7380945018795,8944.5680747699,4871.595247397585,9622.027019290663,6491.501293734413,6637.534273016454,4555.976594879847,6204.360208480091,26264.021039058563,
7867.96919810868,7610.84117083329,6846.7454822802465,7713.3056787626965,7644.283706813932,7746.08673114534,7644.283706813932,7713.3056787626965,6783.184296188061,10027.530300092589,13727.436413521615,7610.84117083329,6918.819466893686,9185.18137839622,10283.874330530058,9669.763301932038,9756.001026050417,6879.734265376309,13774.057607327535,7746.08673114534,7867.96919810868,6737.427871637839,10017.561898208656,29151.321712450183,
8050.785846855253,7839.9298374400805,6863.028418152886,8086.34046384377,7873.372373420723,8119.121516226413,7873.372373420723,8086.34046384377,6821.6766824122005,10086.901859847914,13743.082082132469,7839.9298374400805,6939.944751045497,9294.811811454552,10381.64319581538,10484.857304637395,9937.524674410322,6900.85954952812,13789.70327593839,8119.121516226413,8050.785846855253,6775.920257861979,10076.933457963982,29260.952145508516,
8150.005777095404,7952.852064267724,6882.853219704573,8199.262690671414,7983.201477570152,8228.950620375843,7983.201477570152,8199.262690671414,6835.342822244906,10421.279143836953,13880.671462561642,7952.852064267724,6953.610890878202,9629.189095443591,10727.166696612343,10625.078852694294,10077.746222467222,6916.300013759893,14026.446975931021,8228.950620375843,8150.005777095404,6791.360722093752,10441.38324367573,29625.40193122026,
8202.784539322014,7985.720540012732,7058.236993517514,8216.618078752945,8016.06995331516,8246.306008457374,8016.06995331516,8216.618078752945,6976.663597456636,10711.025745271363,13893.576006642497,7985.720540012732,7113.240211106505,9904.55371556888,11015.937296703185,10629.835708034529,10096.45975846939,7075.929333988196,14039.351520011876,8246.306008457374,8202.784539322014,6932.6814973054825,10731.12984511014,29900.76655134555,
9471.530776411675,8722.091915419183,9609.16458689518,9476.413917656491,8752.44132872161,9506.10184736092,8752.44132872161,9476.413917656491,9503.556441982952,15617.017368699508,18561.054567578078,8722.091915419183,9227.496450776147,13932.76949185599,15907.43122608574,15388.12983697997,10167.056712874304,9190.185573657836,18706.830080947457,9506.10184736092,9471.530776411675,9459.574341831798,15637.121468538284,33928.982327632664,
