LowCarbIm_GPFm1,LowCarbIm+LAInsulinIm2+FAInsulinIm2_GPFm1,NormalCarbIm_GPFm1,LowCarbIm+LAInsulinIm1+FAInsulinIm2_GPFm1,LowCarbIm+LAInsulinIm2+FAInsulinIm1_GPFm1,LowCarbIm+LAInsulinIm1+FAInsulinIm1_GPFm1,VeryLowCarbIm+LAInsulinIm2+FAInsulinIm1_GPFm1,VeryLowCarbIm+LAInsulinIm1+FAInsulinIm2_GPFm1,NormalCarbIm+LAInsulinIm1+FAInsulinIm1_GPFm1,HighCarbIm+LAInsulinIm1+FAInsulinIm2_GPFm1,FAInsulinIm1_GPFm1,VeryLowCarbIm+LAInsulinIm2+FAInsulinIm2_GPFm1,NormalCarbIm+LAInsulinIm2+FAInsulinIm1_GPFm1,HighCarbIm+LAInsulinIm2+FAInsulinIm2_GPFm1,HighCarbIm_GPFm1,LAInsulinIm1_GPFm1,LAInsulinIm2_GPFm1,NormalCarbIm+LAInsulinIm2+FAInsulinIm2_GPFm1,FAInsulinIm2_GPFm1,VeryLowCarbIm+LAInsulinIm1+FAInsulinIm1_GPFm1,VeryLowCarbIm_GPFm1,NormalCarbIm+LAInsulinIm1+FAInsulinIm2_GPFm1,HighCarbIm+LAInsulinIm1+FAInsulinIm1_GPFm1,HighCarbIm+LAInsulinIm2+FAInsulinIm1_GPFm1,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3563.1089873776855,3563.1089873776855,3563.1089873776855,3563.1089873776855,3563.1089873776855,3563.1089873776855,3563.1089873776855,3563.1089873776855,3563.1089873776855,3563.1089873776855,3563.1089873776855,3563.1089873776855,3563.1089873776855,3563.1089873776855,3563.1089873776855,3563.1089873776855,3563.1089873776855,3563.1089873776855,3563.1089873776855,3563.1089873776855,3563.1089873776855,3563.1089873776855,3563.1089873776855,3563.1089873776855,
5394.785030838796,5276.150734795025,4857.2985962239745,5226.264383634058,5282.509684987851,5232.887328278469,5282.509684987851,5226.264383634058,4251.806733260525,3650.0945226767126,3803.2508575285574,5276.150734795025,4420.965403682452,3869.147356502918,3976.2797375951204,5956.973330103101,6354.286090270451,4422.16340401224,4171.140605285519,5232.887328278469,5394.785030838796,4253.658136268464,3646.64589201531,3865.6196402985024,
6074.767671376017,5820.337042010973,5106.07108950271,5770.450690850006,5838.505119559807,5788.882762850425,5838.505119559807,5770.450690850006,4345.207597996865,3895.094004908523,4502.98279960374,5820.337042010973,4514.366268418792,4114.146838734729,4031.689658521805,5957.5511921504985,6354.863952317848,4514.8412254785935,4822.080300944514,5788.882762850425,6074.767671376017,4346.335957734817,3877.506835896333,4096.480584179525,
6078.7031518557005,5827.743039392219,5106.201141897989,5806.6623883237235,5846.401088734666,5826.285211180106,5846.401088734666,5806.6623883237235,4345.476304222683,4700.34657165668,4518.754637999729,5827.743039392219,4514.366268643679,4919.216922738907,4703.19090778377,6025.312564739418,6613.603736809772,4514.843341999484,4830.742128355286,5826.285211180106,6078.7031518557005,4346.560224355917,4670.454321551558,4885.74977537776,
6648.536684190494,5964.474082462917,6025.004678094543,6169.921787103816,5983.132131805364,6189.544609960199,5983.132131805364,6169.921787103816,5210.768105740692,7798.572690979609,7498.4665444908605,5964.474082462917,5237.682764877326,7450.994517029875,7680.035334625893,9259.20284574584,6671.30166350105,5238.159838233131,7810.454034846417,6189.544609960199,6648.536684190494,5211.852025873925,7768.680440874487,7417.527369668728,
6651.612823615994,5983.760949460609,6026.896244662957,6632.2411498347965,6002.418998803056,6651.863972691179,6002.418998803056,6632.2411498347965,5248.761914134454,8310.878675906693,7547.040279907396,5983.760949460609,5248.374253877986,8014.273429312262,8183.576472439536,9686.806128638278,6672.54781263631,5248.851327233791,7859.027770262953,6651.863972691179,6651.612823615994,5249.845834267688,8280.986425801571,7980.806281951115,
6695.599954443234,6066.802240554632,6054.624876518506,6715.28244092882,6080.6767990264825,6730.121772914606,6080.6767990264825,6715.28244092882,5259.740217970759,8880.828788252786,8028.908311320255,6066.802240554632,5259.352557714291,8584.223541658353,8776.802504382014,10171.67388651436,7157.415570512392,5260.045562364003,8427.334958805128,6730.121772914606,6695.599954443234,5261.040069397899,8895.713942807408,8595.53379895695,
6935.8792043335925,6189.324594908881,6427.105809409108,6771.032767615031,6203.199153380732,6785.872099600817,6203.199153380732,6771.032767615031,5516.814779130644,9495.044426595141,8217.326145197378,6189.324594908881,5555.55203176573,9191.151848522224,9456.225137248064,10402.502507572784,7515.456558221583,5556.245036415442,8615.752792682251,6785.872099600817,6935.8792043335925,5518.114630557784,9509.929581149763,9202.462105820821,
7606.409540468669,6324.1226632269145,7781.337391380645,7284.330217316318,6337.997221698765,7299.169549302104,6337.997221698765,7284.330217316318,6736.127886905215,13225.289853098655,11609.738024160892,6324.1226632269145,6523.785423401324,12506.58936070322,13120.366487906727,13886.525012393486,7886.205145388532,6524.478428051036,12008.164671645765,7299.169549302104,7606.409540468669,6737.427738332355,13240.175007653277,12517.899618001815,
