LowCarbIm_GPFm1,LowCarbIm+LAInsulinIm2+FAInsulinIm2_GPFm1,NormalCarbIm_GPFm1,LowCarbIm+LAInsulinIm1+FAInsulinIm2_GPFm1,LowCarbIm+LAInsulinIm2+FAInsulinIm1_GPFm1,LowCarbIm+LAInsulinIm1+FAInsulinIm1_GPFm1,VeryLowCarbIm+LAInsulinIm2+FAInsulinIm1_GPFm1,VeryLowCarbIm+LAInsulinIm1+FAInsulinIm2_GPFm1,NormalCarbIm+LAInsulinIm1+FAInsulinIm1_GPFm1,HighCarbIm+LAInsulinIm1+FAInsulinIm2_GPFm1,FAInsulinIm1_GPFm1,VeryLowCarbIm+LAInsulinIm2+FAInsulinIm2_GPFm1,NormalCarbIm+LAInsulinIm2+FAInsulinIm1_GPFm1,HighCarbIm+LAInsulinIm2+FAInsulinIm2_GPFm1,HighCarbIm_GPFm1,LAInsulinIm1_GPFm1,LAInsulinIm2_GPFm1,NormalCarbIm+LAInsulinIm2+FAInsulinIm2_GPFm1,FAInsulinIm2_GPFm1,VeryLowCarbIm+LAInsulinIm1+FAInsulinIm1_GPFm1,VeryLowCarbIm_GPFm1,NormalCarbIm+LAInsulinIm1+FAInsulinIm2_GPFm1,HighCarbIm+LAInsulinIm1+FAInsulinIm1_GPFm1,HighCarbIm+LAInsulinIm2+FAInsulinIm1_GPFm1,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6335.928665896886,6335.928665896886,6335.928665896886,6335.928665896886,6335.928665896886,6335.928665896886,6335.928665896886,6335.928665896886,6335.928665896886,6335.928665896886,6335.928665896886,6335.928665896886,6335.928665896886,6335.928665896886,6335.928665896886,6335.928665896886,6335.928665896886,6335.928665896886,6335.928665896886,6335.928665896886,6335.928665896886,6335.928665896886,6335.928665896886,6335.928665896886,
10203.692658884736,10495.790183354296,7431.110879524805,10649.334049929032,10501.585515251463,10655.50948031215,10501.585515251463,10649.334049929032,7586.012260380802,6403.937639766325,12580.149888247252,10495.790183354296,7413.608159471226,6341.989852542075,6339.638076630231,10243.780638492095,7944.282049765223,7408.21069113996,11819.298943610618,10655.50948031215,10203.692658884736,7582.103050895551,6400.248316183326,6339.527188959357,
12722.208713367068,13342.739558755247,8218.307527952426,13496.283425329982,13338.111167431902,13492.035132492589,13338.111167431902,13496.283425329982,8387.313269625163,6405.761614970597,14236.983087207296,13342.739558755247,8214.909168715587,6343.813827746347,6353.577741879685,10600.899989295669,8301.401400568797,8197.428388982917,13435.131529384922,13492.035132492589,12722.208713367068,8371.320748738508,6401.359256167332,6340.638128943363,
12980.609921838524,13689.80417076247,8671.083603171575,14064.834136238649,13676.106767739184,14049.098364488384,13676.106767739184,14064.834136238649,8916.459606412152,6427.634041283676,14679.341838521828,13689.80417076247,8679.509557144576,6360.736645454457,6377.536474034095,10820.128362540578,8353.67645584638,8661.122633407964,13846.487364150556,14049.098364488384,12980.609921838524,8899.694906008966,6422.2309481591155,6358.724066849248,
15299.096483316458,14630.521842104317,11573.72860249849,16074.345795907106,14616.82443908103,16058.61002415684,14616.82443908103,16074.345795907106,11817.601914429708,13229.718432200712,21067.873600915675,14630.521842104317,11026.279483285163,11797.317456902954,13156.188196936579,17506.197928741527,9409.184785048428,11007.89255954855,20235.019126544405,16058.61002415684,15299.096483316458,11800.837214026522,13224.31533907615,11795.304878297746,
16032.272676378323,15508.021015940005,12073.631417192244,18097.946578445113,15494.323612916716,18082.21080669485,15494.323612916716,18097.946578445113,12627.575786915737,13238.181106339212,21269.822400252848,15508.021015940005,11615.049606466215,11797.35688654779,13156.466684537121,19316.549152545424,9995.395662998219,11596.662682729602,20436.967925881578,18082.21080669485,16032.272676378323,12610.81108651255,13232.77801321465,11795.344307942582,
17258.422586732268,16697.96169412657,12496.407531675137,19287.88725663168,16571.231452734126,19159.11864651226,16571.231452734126,19287.88725663168,13071.685816186167,13241.140152427743,21279.135771932895,16697.96169412657,12059.159635736645,11800.31593263632,13158.786135789293,19325.16249817158,10004.009008624374,12035.4020751077,20436.976504769278,19159.11864651226,17258.422586732268,13049.55047889065,13234.567558589271,11797.133853317202,
17324.807403487208,16837.06170177439,12505.058986462687,19527.36375261554,16710.331460381945,19398.59514249612,16710.331460381945,19527.36375261554,13112.242396614141,13243.515057780049,21305.463692381567,16837.06170177439,12081.691104237747,11805.323320277912,13162.305839236093,19360.11000045637,10010.224106717847,12057.933543608802,20463.30442521795,19398.59514249612,17324.807403487208,13090.107059318623,13236.942463941577,11802.141240958794,
19775.23355991675,18426.842726650277,16713.633103024615,21934.049532524437,18300.112485257832,21805.280922405018,18300.112485257832,21934.049532524437,17285.180944206862,20617.152206509687,28237.302758740232,18426.842726650277,15395.935868998786,18107.82172073484,20476.243233129844,26418.85151113337,10047.324166083079,15372.178308369843,27395.143491576615,21805.280922405018,19775.23355991675,17263.045606911342,20610.579612671216,18104.63964141572,
20724.560049205196,19417.598205914936,17090.07954717551,23600.005594301685,19290.86796452249,23471.236984182266,19290.86796452249,23600.005594301685,17871.485724613394,20618.05230982626,28263.746920758836,19417.598205914936,15806.028124358661,18115.807773791686,20483.27358883857,27853.61258005818,10085.849468124463,15782.270563729719,27421.58765359522,23471.236984182266,20724.560049205196,17849.350387317874,20611.47971598779,18112.62569447257,
21796.468670330534,20493.061034211118,17282.60537632193,24675.468422597867,20361.54026739183,24541.909287051603,20361.54026739183,24675.468422597867,18075.804364067135,20618.449198195525,28312.919756959593,20493.061034211118,16010.3467638124,18116.20466216095,20484.46552805831,27902.506833801708,10134.743721867993,15981.78268063949,27421.916585907184,24541.909287051603,21796.468670330534,18048.862504227644,20611.8420167035,18112.98799518828,
22002.838320118084,20753.344980423477,17310.32276101697,25045.11388867575,20621.824213604188,24911.554753129487,20621.824213604188,25045.11388867575,18140.587842132278,20623.43442327477,28922.78199329854,20753.344980423477,16052.275345066133,18119.651308332013,20488.45859039431,28149.960606729415,10744.981890735007,16023.711261893222,28031.77882224613,24911.554753129487,22002.838320118084,18113.645982292786,20616.827241782747,18116.43464135934,
24643.66687936708,22513.708008355166,21697.439678382227,27636.200319387728,22382.187241535878,27502.641183841464,22382.187241535878,27636.200319387728,22481.259927910683,27977.633541005824,28936.116255664965,22513.708008355166,19468.08046549777,24433.986099859907,27782.081516066057,35204.7523029819,10768.869746571272,19439.51638232486,28045.113084612556,27502.641183841464,24643.66687936708,22454.318068071192,27971.0263595138,24430.769432887235,
25240.414090310573,23163.580131523027,21909.833676380422,28571.046329915112,23032.05936470374,28437.48719436885,23032.05936470374,28571.046329915112,22831.772572214886,27979.04982202912,29467.936477696316,23163.580131523027,19699.61347638974,24436.572744859033,27783.8059155341,36833.37952952507,11277.874966766129,19671.04939321683,28576.933306643907,28437.48719436885,25240.414090310573,22804.830712375395,27972.442640537094,24433.35607788636,
26607.035073860872,24474.09345452005,22305.846370919557,29881.559652912136,24254.76117790957,29660.18900757468,24254.76117790957,29881.559652912136,23244.62119733522,27980.371915860713,29541.333144328386,24474.09345452005,20112.46210151007,24437.894838690627,27784.685550617975,36906.646224777156,11351.14166201822,20079.970951453502,28577.43642732434,29660.18900757468,26607.035073860872,23213.75227061207,27973.115404135897,24434.028841485164,
26873.433326593993,24799.069379156936,22349.64203954522,30358.494428205344,24579.737102546456,30137.12378286789,24579.737102546456,30358.494428205344,23338.85073693568,27985.855456061337,30157.75486537618,24799.069379156936,20176.01993758444,24442.19631180008,27789.31768693981,37157.85977877913,11967.489855694452,20143.52878752787,29193.858148372135,30137.12378286789,26873.433326593993,23307.981810212532,27978.59894433652,24438.330314594616,
28848.97275311135,25423.82883636085,25835.560004178617,32488.019269626104,25204.496559750372,32266.64862428865,25204.496559750372,32488.019269626104,26763.15338833019,35348.10449136588,30178.0512789221,25423.82883636085,22770.423865150668,30813.0542588685,35136.637762834434,44212.7201750619,11992.066400671625,22737.9327150941,29214.154561918054,32266.64862428865,28848.97275311135,26732.28446160704,35340.84797964106,30809.188261663032,
29788.054443286474,26316.540548030316,26335.68904729819,34611.17120664954,26097.208271419837,34389.800561312084,26097.208271419837,34611.17120664954,27546.794320998302,35348.25853862192,30753.761283100244,26316.540548030316,23317.604342530478,30835.41898641631,35158.82101743286,45848.00963253574,12555.354502313172,23285.11319247391,29789.8645660962,34389.800561312084,29788.054443286474,27515.925394275153,35341.002026897106,30831.552989210842,
31095.556364261967,27611.094037391245,26663.491384686746,35905.72469601047,27333.345883555183,35625.93817344743,27333.345883555183,35905.72469601047,27890.53897772947,35348.65746142608,30827.393366084914,27611.094037391245,23661.348999261645,30835.817909220474,35158.95970322421,45921.5848278738,12628.92969765123,23624.839177983136,29790.325198358238,35625.93817344743,31095.556364261967,27855.65137978438,35341.24117749334,30831.79213980708,
31470.770245677773,28036.451318804608,26739.294580053796,36547.888034221825,27758.703164968545,36268.10151165879,27758.703164968545,36547.888034221825,28040.21137505322,35355.5355728871,31444.055111624886,28036.451318804608,23766.11042641037,30842.054391480367,35165.250472167994,46173.517006337206,13245.561882918659,23729.60060513186,30406.98694389821,36268.10151165879,31470.770245677773,28005.32377710813,35348.11928895436,30838.028622066973,
33310.08329097097,28249.607564671736,29824.961986898885,39198.388620220736,27971.859410835674,38918.6020976577,27971.859410835674,39198.388620220736,31065.87011994825,42470.91153828461,31466.112454334598,28249.607564671736,25981.943927711036,37194.454841951505,42279.51531754222,53228.33408660885,13270.302209063859,25945.434106432527,30429.04428660792,38918.6020976577,33310.08329097097,31030.98252200316,42463.49525435187,37190.42907253811,
34241.49040530397,29132.81545824186,30329.494945147955,41340.672363250946,28855.0673044058,41060.88584068791,28855.0673044058,41340.672363250946,31857.82570618059,42471.049384702805,32057.32757703415,29132.81545824186,26534.473299893558,37217.19660144806,42302.11523967765,54857.65324367047,13853.369826841252,26497.96347861505,31020.259409307473,41060.88584068791,34241.49040530397,31822.9381082355,42463.633100770065,37213.17083203466,
35328.20779015783,30223.752742114502,30526.966963781935,42431.60964712359,29938.907564458386,42144.726100740496,29938.907564458386,42431.60964712359,32067.746256061317,42471.265888875845,32131.04266192917,30223.752742114502,26744.393849774286,37217.4131056211,42302.823345396646,54931.33422722278,13927.050810393559,26703.374776717043,31020.708733512325,42144.726100740496,35328.20779015783,32028.349406337493,42463.81917104228,37213.35690230688,
35442.51768389318,30376.4783267267,30536.248480853246,42646.76003986014,30091.633149070585,42359.87649347705,30091.633149070585,42646.76003986014,32098.61729524855,42475.31187271893,32747.79200334513,30376.4783267267,26761.484719327716,37219.88961292879,42305.83190101995,55182.48608920248,14543.784477076482,26720.465646270473,31637.458074928287,42359.87649347705,35442.51768389318,32059.220445524727,42467.86515488537,37215.83340961457,
38000.64696890627,32039.453890135854,34863.40102519668,45157.3191240224,31754.608712479738,44870.435577639306,31754.608712479738,45157.3191240224,36375.206317639415,49857.55148151187,32770.66760462204,32039.453890135854,30121.20175431885,43567.04952737652,49638.48247193813,62237.21104701973,14568.598508319228,30080.182681261605,31660.33367620519,44870.435577639306,38000.64696890627,36335.80946791559,49850.10476367831,43562.9933240623,
38904.45889547083,32991.30825227214,35203.532832902994,46715.45394335188,32706.463074616022,46428.57039696879,32706.463074616022,46715.45394335188,36917.63706300491,49857.72752597105,33369.94039131813,32991.30825227214,30494.95088708637,43577.93702219447,49648.59489047791,63857.42267388552,15161.927475768785,30453.931814029125,32259.606462901284,46428.57039696879,38904.45889547083,36878.24021328109,49850.28080813749,43573.88081888025,
40303.23760227522,34283.80309041286,35647.953546804405,48007.9487814926,33887.912748182935,47610.020070535706,33887.912748182935,48007.9487814926,37379.81830338337,49860.15227427484,33443.6983849798,34283.80309041286,30957.13212746483,43580.36177049826,49650.55048231133,63931.15712291882,15235.661924802083,30912.30852372636,32260.05611507195,47610.020070535706,40303.23760227522,37336.61692297832,49851.36834347267,43574.96835421543,
40536.32445549729,34574.103183880914,35681.396026081144,48428.025495992166,34178.21284165099,48030.09678503527,34178.21284165099,48428.025495992166,37456.78199706251,49865.00888488156,34060.493641322435,34574.103183880914,31007.585101518973,43583.93049103876,49654.44201979069,64181.021171949906,15852.447646829925,30962.761497780502,32876.85137141459,48030.09678503527,40536.32445549729,37413.58061665746,49856.224954079385,43578.53707475593,
42522.64241943629,35243.43384527217,39211.38876245067,50539.658280635784,34847.543503042245,50141.729569678886,34847.543503042245,50539.658280635784,40924.19990739614,57245.39782576973,34083.84285563318,35243.43384527217,33642.980798205,49967.924689172985,57019.66890469526,71235.6327385286,15877.303503390453,33598.15719446653,32900.20058572533,50141.729569678886,42522.64241943629,40880.99852699109,57236.61389496756,49962.53127289015,
43447.399839307545,36118.93780486906,39719.03130205295,52697.45395385229,35723.04746263914,52299.52524289539,35723.04746263914,52697.45395385229,41722.272438553984,57245.51629612632,34688.05627271118,36118.93780486906,34199.49853199073,49990.958198032284,57042.59257161386,72846.1516151311,16476.887819973297,34154.67492825226,33504.414002803336,52299.52524289539,43447.399839307545,41679.07105814893,57236.73236532415,49985.56478174945,
44872.06945999098,37338.705198721334,40235.49509307249,53917.22134770456,36793.91821304328,53370.395993299535,36793.91821304328,53917.22134770456,42256.83567824487,57249.861450559714,34761.84045929597,37338.705198721334,34734.06177168161,49995.30335246568,57046.462850237454,72919.91815895523,16550.654363797432,34685.34481471804,33504.869064991144,53370.395993299535,44872.06945999098,42209.740944614714,57238.28873350815,49987.121149933446,
45085.367743970164,37607.442471564376,40263.74997799777,54302.75374025731,37062.655485886324,53755.92838585228,37062.655485886324,54302.75374025731,42324.53437922325,57254.45636665548,35378.66399857135,37607.442471564376,34777.65183609513,49998.54401960938,57050.04241098762,73168.35470977043,17167.4715912137,34728.93487913156,34121.69260426652,53755.92838585228,45085.367743970164,42277.4396455931,57242.883649603915,49990.361817077144,
47538.85261236907,39144.22241011067,44504.304187699185,56713.26551324563,38599.43542443262,56166.4401588406,38599.43542443262,56713.26551324563,46511.91843040335,64656.08338084251,35402.32116120238,39144.22241011067,38060.046672963996,56359.20020535222,64407.32204394016,80222.8447807641,17192.354312729673,38011.32971600042,34145.349766897554,56166.4401588406,47538.85261236907,46464.823696773194,64644.51066379094,56351.01800281999,
48499.5601348596,40068.957374568774,44980.39976187605,58774.37757748944,39524.17038889072,58227.552223084414,39524.17038889072,58774.37757748944,47261.047956558,64656.16921242512,36009.86419279346,40068.957374568774,38582.60998974126,56380.401802594315,64428.27994525731,81823.9627925807,17796.130511423187,38533.89303277768,34752.89279848863,58227.552223084414,48499.5601348596,47213.95322292785,64644.59649537355,56372.21960006208,
49866.150453657414,41381.06606832559,45373.15965244745,60086.48627124626,40749.35716543214,59452.738999625835,40749.35716543214,60086.48627124626,47671.164626942686,64657.5312179604,36083.66596738731,41381.06606832559,38992.72666012594,56381.763808129595,64429.23561519686,81897.75061928711,17869.918338129588,38940.140667854525,34753.35563547942,59452.738999625835,49866.150453657414,47620.20085800469,64645.312940659314,56372.936045347844,
50243.03690104323,41807.770691086174,45448.316136746915,60730.95445374305,41176.061788192725,60097.20718212263,41176.061788192725,60730.95445374305,47820.59621351035,64664.33566604156,36700.50863098162,41807.770691086174,39097.0792416188,56388.01400872353,64435.521312483805,82144.76815249234,18486.75657223215,39044.49324934738,35370.19829907373,60097.20718212263,50243.03690104323,47769.63244457235,64652.11738874047,56379.186245941775,
52549.133308627126,43145.62650352985,49544.130672903775,63004.58748762358,42513.9176006364,62370.84021600316,42513.9176006364,63004.58748762358,51859.9801282228,72088.17472909621,36724.38125932875,43145.62650352985,42248.897421774134,62760.94626037529,71821.24861038354,89199.13547721966,18511.657951680776,42196.31142950272,35394.070927420864,62370.84021600316,52549.133308627126,51809.016359284804,72075.95645179512,62752.11849759354,
53509.24882203501,44127.96389933391,49935.10707565207,64770.09689279449,43496.25499644046,64136.34962117407,43496.25499644046,64770.09689279449,52479.232803437386,72088.25483425787,37334.3123118105,44127.96389933391,42678.88830403026,62775.866325229326,71835.59638872613,90791.4514064205,19118.426296115766,42626.302311758845,36004.001979902605,64136.34962117407,53509.24882203501,52428.26903449939,72076.03655695678,62767.038562447575,
54646.66803367807,45270.3863711673,50152.499554082235,65912.51936462788,44625.17083116294,65265.26545589655,44625.17083116294,65912.51936462788,52709.96589479598,72088.31011990133,37408.126662236944,45270.3863711673,42909.62139538886,62775.92161087279,71835.91860625311,90865.2543061843,19192.22919587957,42852.58832932808,36004.473664526944,65265.26545589655,54646.66803367807,52654.55505206862,72076.0837533871,62767.08575887788,
