LowCarbIm_GPFm1,LowCarbIm+LAInsulinIm2+FAInsulinIm2_GPFm1,NormalCarbIm_GPFm1,LowCarbIm+LAInsulinIm1+FAInsulinIm2_GPFm1,LowCarbIm+LAInsulinIm2+FAInsulinIm1_GPFm1,LowCarbIm+LAInsulinIm1+FAInsulinIm1_GPFm1,VeryLowCarbIm+LAInsulinIm2+FAInsulinIm1_GPFm1,VeryLowCarbIm+LAInsulinIm1+FAInsulinIm2_GPFm1,NormalCarbIm+LAInsulinIm1+FAInsulinIm1_GPFm1,HighCarbIm+LAInsulinIm1+FAInsulinIm2_GPFm1,FAInsulinIm1_GPFm1,VeryLowCarbIm+LAInsulinIm2+FAInsulinIm2_GPFm1,NormalCarbIm+LAInsulinIm2+FAInsulinIm1_GPFm1,HighCarbIm+LAInsulinIm2+FAInsulinIm2_GPFm1,HighCarbIm_GPFm1,LAInsulinIm1_GPFm1,LAInsulinIm2_GPFm1,NormalCarbIm+LAInsulinIm2+FAInsulinIm2_GPFm1,FAInsulinIm2_GPFm1,VeryLowCarbIm+LAInsulinIm1+FAInsulinIm1_GPFm1,VeryLowCarbIm_GPFm1,NormalCarbIm+LAInsulinIm1+FAInsulinIm2_GPFm1,HighCarbIm+LAInsulinIm1+FAInsulinIm1_GPFm1,HighCarbIm+LAInsulinIm2+FAInsulinIm1_GPFm1,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.229112505937167,0.0,0.0,0.0,6.674996663959632,5.291925354194831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.966348902744244,6.361589662730296,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.229112505937167,0.0,0.0,0.0,6.674996663959632,5.291925354194831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.966348902744244,6.361589662730296,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.229112505937167,0.0,0.0,0.0,9.754571699782502,7.466972072623406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.966348902744244,9.441164698553166,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.650769047195212,1.8456517704868531,0.0,0.0,13.176228241040548,11.052783491277552,1.9818871557977218,1.9818871557977218,0.0,5.198237819027895,0.0,0.0,0.0,9.915807605379484,14.390623401188407,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.351321265911423,1.8456517704868531,0.0,0.0,18.184592360703675,16.975979480003275,1.9818871557977218,1.9818871557977218,0.0,5.198237819027895,0.0,0.0,0.0,15.616359824095696,19.398987520851534,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.351321265911423,1.8456517704868531,0.0,0.0,18.184592360703675,16.975979480003275,1.9818871557977218,1.9818871557977218,0.0,5.198237819027895,0.0,0.0,0.0,15.616359824095696,19.398987520851534,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.979847616156434,1.8456517704868531,0.0,0.0,23.960397880286905,22.275197671326282,1.9818871557977218,1.9818871557977218,0.0,5.198237819027895,0.0,0.0,0.0,18.244886174340706,25.174793040434764,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.501074418234822,1.8456517704868531,0.0,0.0,28.481624682365293,27.004980063428718,1.9818871557977218,1.9818871557977218,0.0,10.639591896663262,0.0,0.0,0.0,23.77865489997805,30.70856176607211,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.962313206259722,1.8456517704868531,0.0,0.0,35.479297793768154,34.199547248811996,1.9818871557977218,1.9818871557977218,0.0,10.639591896663262,0.0,0.0,0.0,31.23989368800295,37.70623487747497,
