=======================================================
0-Aspect: LAInsulin
1-Aspect: FAInsulin
0-FAInsulin: 0.0
0-LAInsulin: 20.0
0-Carb: 30.683859621232802
1-LAInsulin: 20.0
1-FAInsulin: 0.0
1-Carb: 6.2678362488584245
=======================================================
0-Aspect: LAInsulin
1-Aspect: FAInsulin
0-FAInsulin: 5.0
0-LAInsulin: 0.0
0-Carb: 37.27603959165235
1-LAInsulin: 0.0
1-FAInsulin: 5.0
1-Carb: 8.265466542924955
=======================================================
0-Aspect: LAInsulin
1-Aspect: FAInsulin
0-FAInsulin: 5.0
0-LAInsulin: 0.0
0-Carb: 40.42505130717342
1-LAInsulin: 0.0
1-FAInsulin: 5.0
1-Carb: 9.219712517325277
=======================================================
0-Aspect: LAInsulin
1-Aspect: FAInsulin
0-FAInsulin: 0.0
0-LAInsulin: 0.0
0-Carb: 12.004929008427679
1-LAInsulin: 0.0
1-FAInsulin: 0.0
1-Carb: 0.6075542449780846
=======================================================
0-Aspect: LAInsulin
1-Aspect: FAInsulin
0-FAInsulin: 0.0
0-LAInsulin: 20.0
0-Carb: 15.39198666607733
1-LAInsulin: 20.0
1-FAInsulin: 0.0
1-Carb: 1.6339353533567669
=======================================================
0-Aspect: LAInsulin
1-Aspect: FAInsulin
0-FAInsulin: 6.0
0-LAInsulin: 0.0
0-Carb: 27.333121151610314
1-LAInsulin: 0.0
1-FAInsulin: 6.0
1-Carb: 5.252460955033429
=======================================================
0-Aspect: LAInsulin
1-Aspect: FAInsulin
0-FAInsulin: 0.0
0-LAInsulin: 0.0
0-Carb: 36.57156942341423
1-LAInsulin: 0.0
1-FAInsulin: 6.0
1-Carb: 8.05199073436795
=======================================================
0-Aspect: LAInsulin
1-Aspect: FAInsulin
0-FAInsulin: 5.0
0-LAInsulin: 0.0
0-Carb: 23.01327754475566
1-LAInsulin: 0.0
1-FAInsulin: 5.0
1-Carb: 3.9434174378047446
=======================================================
0-Aspect: FAInsulin
1-Aspect: FAInsulin
0-FAInsulin: 0.0
0-LAInsulin: 20.0
0-Carb: 22.825209025747014
1-LAInsulin: 20.0
1-FAInsulin: 0.0
1-Carb: 3.8864269774990943
=======================================================
0-Aspect: FAInsulin
1-Aspect: FAInsulin
0-FAInsulin: 6.0
0-LAInsulin: 0.0
0-Carb: 30.38272761317871
1-LAInsulin: 0.0
1-FAInsulin: 6.0
1-Carb: 6.17658412520567
=======================================================
0-Aspect: LAInsulin
1-Aspect: FAInsulin
0-FAInsulin: 6.0
0-LAInsulin: 0.0
0-Carb: 18.21610458713137
1-LAInsulin: 0.0
1-FAInsulin: 6.0
1-Carb: 2.489728662767081
=======================================================
0-Aspect: LAInsulin
1-Aspect: FAInsulin
0-FAInsulin: 5.0
0-LAInsulin: 0.0
0-Carb: 26.486217244441164
1-LAInsulin: 0.0
1-FAInsulin: 5.0
1-Carb: 4.995823407406413
=======================================================
0-Aspect: LAInsulin
1-Aspect: FAInsulin
0-FAInsulin: 0.0
0-LAInsulin: 20.0
0-Carb: 33.24943427086283
1-LAInsulin: 20.0
1-FAInsulin: 0.0
1-Carb: 33.24943427086283
=======================================================
0-Aspect: FAInsulin
1-Aspect: FAInsulin
0-FAInsulin: 6.0
0-LAInsulin: 0.0
0-Carb: 38.4951712727368
1-LAInsulin: 0.0
1-FAInsulin: 6.0
1-Carb: 8.634900385677819
=======================================================
0-Aspect: FAInsulin
1-Aspect: FAInsulin
0-FAInsulin: 7.0
0-LAInsulin: 0.0
0-Carb: 35.713664220321135
1-LAInsulin: 0.0
1-FAInsulin: 7.0
1-Carb: 7.792019460703374
=======================================================
0-Aspect: LAInsulin
1-Aspect: FAInsulin
0-FAInsulin: 5.0
0-LAInsulin: 0.0
0-Carb: 20.961873257264244
1-LAInsulin: 0.0
1-FAInsulin: 5.0
1-Carb: 3.321779774928558
=======================================================
0-Aspect: LAInsulin
1-Aspect: FAInsulin
