HighCarbIm_Fm1,CarbCountingInsulinIm_Fm1,VeryLowCarbIm_Fm1,LowCarbIm_Fm1,NormalCarbIm_Fm1,SlidingScaleInsulinIm_Fm1,
4662.4319945726165,5680.969268975328,5697.120901498168,5621.298600064095,5394.166423775385,3281.40601233783,
4739.086564980874,5780.864313005647,5796.132776773334,5718.385876760543,5484.807948390593,3372.9436663637975,
4813.735522126699,5880.756588911948,5894.247519467051,5810.875349324392,5572.845998902462,3361.4788965042376,
4890.399154033518,5980.646981105574,5993.262919998712,5908.085124654962,5663.5319370473735,3350.0141266446776,
4964.849302575357,6080.536139029422,6091.277064089515,6000.14378277453,5751.326567448982,3338.5493567851177,
5040.423543267541,6180.424526616796,6189.8334325034175,6095.056931405002,5840.61885840122,3327.0845869255577,
5129.98013060493,6280.317907608311,6283.4837013182205,6195.014929883543,5939.665316977571,3315.6198170659977,
5223.107768615893,6380.222919493253,6365.299695979603,6293.574038219315,6039.657291876415,3304.1550472064378,
5314.257761242738,6480.1869376795385,6454.969585553153,6393.2931458796465,6139.268402276062,3292.690277346878,
5401.108343115723,6580.185519233658,6552.594891900515,6493.291783751205,6237.123368854779,3281.225507487318,
5484.5534407584855,6680.174891212457,6652.299878259591,6592.941584320634,6332.922446354607,3269.760737627758,
5565.171196295591,6780.133706948808,6752.276167048161,6689.657364786896,6426.019255196325,3363.1472788359292,
5646.602031854417,6880.0660331538065,6852.274816717317,6787.831356517126,6520.050839077792,3456.717559297156,
5729.530555586837,6979.984891161068,6952.108135082205,6887.638082074149,6615.669560879052,3550.3662174430497,
5821.305270889128,7079.9003005075365,7039.724004022852,6984.590013645141,6715.582691801,3644.033784099761,
5914.848162283721,7179.841089430556,7119.277452915251,7079.787677797304,6815.553297907488,3737.550410366331,
6005.530911612541,7279.7758998132595,7210.283441736074,7179.643584067527,6915.005569246105,3831.1053358449667,
6093.664969561874,7379.687216148254,7306.365289504844,7279.187327232325,7013.704972677598,3924.7948062139403,
6178.600416652692,7479.567950583715,7405.454069896509,7379.131872925795,7110.526802987991,4018.6327963862273,
6262.401833919001,7579.428341240246,7505.046515292826,7478.967024862879,7206.6463830713255,4112.558116020425,
6344.019112580882,7679.284887291747,7605.039870059131,7576.02276432824,7300.456705045824,4206.499123641463,
6425.658581233871,7779.150450245577,7705.032323042439,7673.300530853675,7394.342891339097,4300.402951705447,
6507.027886076486,7879.032423612065,7805.031836475333,7770.3429074037385,7487.997242279211,4394.235364861869,
6590.5769236058495,7978.934771959952,7904.706086581681,7870.33181937991,7584.1744469748355,4487.970968901634,
6671.524569532212,8078.859139574289,8004.700085834731,7967.443984281426,7677.58785547402,4581.588487846254,
6751.830952744422,8178.805060245393,8104.649385888593,8063.817894503413,7770.395444875369,4675.070544911023,
6844.925774652402,8278.76840181821,8186.632991757379,8161.680782786812,7870.392733657665,4663.605775051463,
6939.94325180724,8378.734263344562,8255.379765009631,8257.336056625325,7970.105712189942,4652.141005191903,
7033.4415282097725,8478.66791562622,8335.18953320595,8351.167163555001,8070.063677027799,4640.676235332343,
7120.446998415602,8578.647338536197,8432.655790958119,8451.021329931607,8167.809583777367,4629.211465472783,
7203.4249006836435,8678.644643304688,8532.478548612115,8549.557041954635,8262.877080526625,4722.097199231896,
7285.037282373714,8778.605350137528,8632.472094538052,8647.67609251102,8357.000450755591,4815.468453859249,
7366.864264658872,8878.534375622598,8732.454576058191,8746.334335014115,8451.436029126198,4909.058672532263,
7447.5322544877135,8978.455019188228,8832.434296424119,8842.77260304384,8544.489016278503,5002.697368582094,
7529.835622978168,9078.379638052216,8932.371892923713,8942.073431324676,8639.463302217282,5096.313438587699,
7611.701210507805,9178.313790864013,9032.35179331733,9040.969824446256,8734.01121895305,5189.87245889252,
7693.775293581586,9278.260919869695,9132.314570102431,9140.347035289291,8828.888911931796,5283.346123098397,
7775.500450792045,9378.222340265504,9232.302990789112,9239.583603138608,8923.496642274571,5376.711508480345,
7855.179093009305,9478.19747131955,9332.169237167505,9335.705613607532,9015.836566446369,5469.950431336279,
7935.32672992753,9578.184192704814,9432.101075517008,9433.373174826387,9108.916641130145,5563.048923725956,
8015.284246583336,9678.179254368944,9532.00880721162,9531.262143739534,9201.948081514398,5655.996760559593,
8093.740657049613,9778.178684004113,9631.613359221385,9626.742573762938,9293.324221080453,5748.786998306953,
8173.252594190081,9878.178151664428,9731.451424211442,9724.994429844824,9386.198443478626,5841.41548700795,
8251.05547536322,9978.173255272048,9830.867337111578,9820.519564273543,9477.155040230322,5933.880150964623,
8328.014013002901,10078.159589589086,9929.994638173892,9914.855817639418,9567.238259473117,6026.178631899371,
8404.26155063663,10178.13313298336,10028.842963806825,10008.257292123686,9656.604934997415,6118.31287564355,
8480.602931728154,10278.092068277678,10127.72988766382,10102.633263414282,9746.280036021715,6210.301784545121,
8556.42648603488,10378.036247571661,10226.39737953919,10196.350519128306,9835.434536035566,6302.167208029725,
8631.982062192294,10477.96682940703,10324.945289854502,10289.90876677865,9924.36498903419,6393.9318188461475,
