HighCarbIm_Fm1,CarbCountingInsulinIm_Fm1,VeryLowCarbIm_Fm1,LowCarbIm_Fm1,NormalCarbIm_Fm1,SlidingScaleInsulinIm_Fm1,
0.0,0.0,0.0,0.0,0.0,0.0,
-18.372295468436224,-3.2382360849851226,3.559436068182063,-1.283052566492218,-5.347679928417011,-3.2382360849851226,
-37.21223399387429,-6.748131686285438,6.949986137274951,-2.3465931658556327,-10.954333113626753,-6.748131686285438,
-55.03079722353131,-10.487998266032058,10.69023744407428,-0.2558712197768429,-14.979867417114932,-10.487998266032058,
-74.34478324469045,-14.41205133110805,13.895333564280795,-0.4566389422874355,-20.678201232635615,-14.41205133110805,
-95.0292835185793,-18.474537585084043,16.490363518549117,-3.3220979351001914,-28.000505160631977,-18.474537585084043,
-115.91774618510345,-22.633892709028764,18.985913532573438,-6.208324191374388,-35.46977969047478,-22.633892709028764,
-136.16211234223388,-26.855818064294112,21.7882086884866,-7.174550088029132,-42.00625476975315,-26.855818064294112,
-156.30721611064416,-31.11409693634523,24.63581052394892,-7.735943428676736,-48.366735101681854,-31.11409693634523,
-175.82683484161728,-35.38999410113827,27.75619259846532,-6.845045279242933,-53.89317878729087,-35.38999410113827,
-195.8262462119934,-39.670984095006794,30.669310590355572,-6.969151115808766,-60.03485928576475,-39.670984095006794,
-214.91214888011896,-43.94917159540778,33.965377932169105,-5.215434813314031,-65.00357456701163,-43.94917159540778,
-235.8219358379112,-48.21988405545986,36.450404870538875,-7.578786429320998,-72.35804418937286,-151.11394145496777,
-255.19085929880714,-52.48084923302823,39.63311619336908,-6.441411215293142,-77.70923706055979,-258.27871131452775,
-276.2019394404322,-56.731454692097614,42.067844348525945,-9.168196249761198,-85.22460935409782,-365.44348117408776,
-297.2551591563431,-52.5502150399268,44.481496103144124,-12.055829005933766,-92.80903816296029,-472.6082510336478,
-316.1947330395173,-48.367376283461994,47.83423232390393,-10.202803299922405,-97.6482740050896,-579.7730208932078,
-336.7926796448495,-44.465441133050895,50.470829465694166,-11.123947987605934,-104.41550818953542,-686.9377907527678,
-358.7429948348837,-40.678170424732286,52.41547107720353,-14.91563090427248,-112.84975603950643,-794.1025606123278,
-379.17387700591735,-36.82350861847661,55.13118973110777,-14.782858352806699,-119.21335453043442,-901.2673304718878,
-399.46684920549325,-32.82709680034959,57.91110370586275,-14.364134957845607,-125.40108710953493,-1008.4321003314478,
-419.757524090485,-28.738014951458855,60.69207838597684,-14.076267182269167,-131.62493202956173,-1013.116182635828,
-441.41984401578793,-24.607703192382584,62.79141959375815,-17.33594056245247,-139.72699087553607,-1120.280952495388,
-462.02448928949326,-20.461042746210072,65.42481365013471,-18.210492931231272,-146.4864126763754,-1227.445722354948,
-481.2151024611221,-16.303640368049486,68.67951279286747,-18.704610082432716,-152.18058553322672,-1334.610492214508,
-498.7114968666502,-12.292819928374737,72.51487428930554,-16.13957045188011,-155.83316049482812,-1441.775262074068,
-518.717856462717,-8.310284122499002,75.42489452947069,-18.53014573407024,-162.56945088812,-1548.940031933628,
-539.5449336714341,-4.267568450955342,77.9506082139293,-22.04460314480148,-170.14860538077124,-1553.8138797022177,
-559.3927804120837,-0.1389465492934594,80.9306238103484,-22.57264029146721,-176.29743664857938,-1558.3211457902146,
-579.2076347311717,4.043409154581336,83.92502929367821,-23.00371098226028,-182.3976470884006,-1562.55566869413,
