279,132.43,20.46
280,132.43,20.47
281,132.44,20.47
282,132.45,20.48
283,132.45,20.48
284,132.46,20.48
285,132.46,20.49
286,132.47,20.49
287,132.47,20.49
288,132.48,20.50
289,132.48,20.50
290,132.48,20.50
291,132.49,20.50
292,132.49,20.51
293,132.49,20.51
294,132.49,20.51
295,132.50,20.51
296,132.50,20.51
297,132.50,20.51
298,132.50,20.51
299,132.50,20.51
300,132.50,20.51
301,132.50,20.51
302,132.50,20.51
303,132.50,20.51
304,132.50,20.51
305,132.50,20.51
306,132.50,20.51
307,132.50,20.51
308,132.50,20.51
309,132.50,20.51
310,132.49,20.51
311,132.49,20.51
312,132.49,20.50
313,132.49,20.50
314,132.49,20.50
315,132.48,20.50
316,132.48,20.50
317,132.48,20.50
318,132.47,20.50
319,132.47,20.50
320,132.47,20.50
321,132.46,20.50
322,132.46,20.50
323,132.45,20.50
324,132.45,20.50
325,132.44,20.50
326,132.44,20.50
327,132.43,20.50
328,132.43,20.49
329,132.42,20.49
330,132.42,20.49
331,132.41,20.49
332,132.40,20.49
333,132.40,20.48
334,132.39,20.48
335,132.39,20.48
336,132.38,20.48
337,132.37,20.47
338,132.37,20.47
339,132.36,20.47
340,132.35,20.46
341,132.35,20.46
342,132.34,20.46
343,132.33,20.45
344,132.32,20.45
345,132.32,20.44
346,132.31,20.44
347,132.30,20.43
348,132.29,20.43
349,132.28,20.42
350,132.28,20.42
351,132.27,20.41
352,132.26,20.41
353,132.25,20.40
354,132.24,20.40
355,132.23,20.39
356,132.23,20.39
357,132.22,20.38
358,132.21,20.38
359,132.20,20.37
360,132.19,20.36
361,132.18,20.36
362,132.17,20.35
363,132.16,20.35
364,132.15,20.35
365,132.14,20.35
366,132.13,20.35
367,132.13,20.35
368,132.12,20.35
369,132.11,20.35
370,132.10,20.35
371,132.09,20.35
372,132.08,20.35
373,132.07,20.35
374,132.06,20.35
375,132.05,20.35
376,132.04,20.35
377,132.03,20.35
378,132.02,20.35
379,132.01,20.35
380,132.00,20.35
381,131.99,20.35
382,131.98,20.35
383,131.97,20.35
384,131.96,20.34
385,131.95,20.34
386,131.94,20.34
387,131.92,20.34
388,131.91,20.33
389,131.90,20.33
390,131.89,20.33
391,131.88,20.32
392,131.87,20.32
393,131.86,20.31
394,131.85,20.31
395,131.84,20.30
396,131.83,20.30
397,131.82,20.30
398,131.81,20.29
399,131.80,20.28
400,131.79,20.28
401,131.78,20.27
402,131.76,20.27
403,131.75,20.26
404,131.74,20.26
405,131.73,20.25
406,131.72,20.24
407,131.71,20.24
408,131.70,20.23
409,131.69,20.22
410,131.68,20.22
411,131.67,20.21
412,131.65,20.20
413,131.64,20.19
414,131.63,20.19
415,131.62,20.18
416,131.61,20.17
417,131.60,20.16
418,131.59,20.15
419,131.58,20.15
420,131.57,20.14
421,131.56,20.13
422,131.54,20.12
423,131.53,20.11
424,131.52,20.10
425,131.51,20.09
426,131.50,20.09
427,131.49,20.08
428,131.48,20.07
429,131.47,20.06
430,131.46,20.05
431,131.45,20.04
432,131.43,20.03
433,131.42,20.02
434,131.41,20.01
435,131.40,20.00
436,131.39,19.99
437,131.38,19.98
438,131.37,19.97
439,131.36,19.96
440,131.35,19.96
441,131.34,19.95
442,131.33,19.94
443,131.32,19.93
444,131.30,19.92
445,131.29,19.91
446,131.28,19.90
447,131.27,19.89
448,131.26,19.88
449,131.25,19.87
450,131.24,19.86
451,131.23,19.85
452,131.22,19.84
453,131.21,19.83
454,131.20,19.82
455,131.19,19.81
456,131.18,19.79
457,131.17,19.78
458,131.16,19.77
459,131.15,19.76
460,131.14,19.75
461,131.13,19.74
462,131.12,19.73
463,131.11,19.72
464,131.10,19.71
465,131.09,19.70
466,131.08,19.69
467,131.07,19.68
468,131.06,19.67
469,131.05,19.66
470,131.04,19.65
471,131.03,19.64
472,131.02,19.63
473,131.01,19.62
474,131.00,19.61
475,130.99,19.60
476,130.98,19.59
477,130.97,19.58
478,130.96,19.57
479,130.95,19.56
480,130.94,19.55
481,130.93,19.54
482,130.92,19.53
483,130.92,19.52
484,130.91,19.51
485,130.90,19.50
486,130.89,19.49
487,130.88,19.48
488,130.87,19.47
489,130.86,19.46
490,130.85,19.45
491,130.84,19.44
492,130.84,19.43
493,130.83,19.42
494,130.82,19.41
495,130.81,19.40
496,130.80,19.39
497,130.79,19.38
498,130.78,19.37
499,130.78,19.37
500,130.77,19.36
501,130.76,19.35
502,130.75,19.34
503,130.74,19.33
504,130.74,19.32
505,130.73,19.31
506,130.72,19.30
507,130.71,19.29
508,130.70,19.28
509,130.70,19.27
510,130.69,19.26
511,130.68,19.26
512,130.67,19.25
513,130.67,19.24
514,130.66,19.23
515,130.65,19.22
516,130.64,19.21
517,130.64,19.20
518,130.63,19.19
519,130.62,19.19
520,130.61,19.18
521,130.61,19.17
522,130.60,19.16
523,130.59,19.15
524,130.59,19.14
525,130.58,19.14
526,130.57,19.13
527,130.57,19.12
528,130.56,19.11
529,130.55,19.10
530,130.55,19.10
531,130.54,19.09
532,130.53,19.08
533,130.53,19.07
534,130.52,19.06
535,130.51,19.06
536,130.51,19.05
537,130.50,19.04
538,130.50,19.03
539,130.49,19.03
540,130.48,19.02
541,130.48,19.01
542,130.47,19.00
543,130.47,19.00
544,130.46,18.99
545,130.45,18.98
546,130.45,18.97
547,130.44,18.97
548,130.44,18.96
549,130.43,18.95
550,130.43,18.95
551,130.42,18.94
552,130.42,18.93
553,130.41,18.93
554,130.40,18.92
555,130.40,18.91
556,130.39,18.91
557,130.39,18.90
558,130.38,18.89
559,130.38,18.89
560,130.37,18.88
561,130.37,18.87
562,130.36,18.87
563,130.36,18.86
564,130.35,18.86
565,130.35,18.85
566,130.34,18.84
567,130.34,18.84
568,130.34,18.83
569,130.33,18.83
570,130.33,18.82
571,130.32,18.81
572,130.32,18.81
573,130.31,18.80
574,130.31,18.80
575,130.30,18.79
576,130.30,18.79
577,130.30,18.78
578,130.29,18.77
579,130.29,18.77
580,130.28,18.76
581,130.28,18.76
582,130.28,18.75
583,130.27,18.75
584,130.27,18.74
585,130.26,18.74
586,130.26,18.73
587,130.26,18.73
588,130.25,18.72
589,130.25,18.72
590,130.25,18.71
591,130.24,18.71
592,130.24,18.70
593,130.23,18.70
594,130.23,18.69
595,130.23,18.69
596,130.22,18.69
597,130.22,18.68
598,130.22,18.68
599,130.21,18.67
600,130.21,18.67
601,130.21,18.66
602,130.20,18.66
603,130.20,18.65
604,130.20,18.65
605,130.20,18.65
606,130.19,18.64
607,130.19,18.64
608,130.19,18.63
609,130.18,18.63
610,130.18,18.63
611,130.18,18.62
612,130.17,18.62
613,130.17,18.61
614,130.17,18.61
615,130.17,18.61
616,130.16,18.60
617,130.16,18.60
618,130.16,18.60
619,130.16,18.59
620,130.15,18.59
621,130.15,18.58
622,130.15,18.58
623,130.15,18.58
624,130.14,18.57
625,130.14,18.57
626,130.14,18.57
627,130.14,18.56
628,130.13,18.56
629,130.13,18.56
630,130.13,18.55
631,130.13,18.55
632,130.13,18.55
633,130.12,18.55
634,130.12,18.54
635,130.12,18.54
636,130.12,18.54
637,130.12,18.53
638,130.11,18.53
639,130.11,18.53
640,130.11,18.53
641,130.11,18.52
642,130.11,18.52
643,130.10,18.52
644,130.10,18.51
645,130.10,18.51
646,130.10,18.51
647,130.10,18.51
648,130.09,18.50
649,130.09,18.50
650,130.09,18.50
651,130.09,18.50
