G,I,GI,II
145.9733,64.0924,0.0000,0.0000
145.9861,64.1161,0.0000,0.0000
145.9986,64.1397,0.0000,0.0000
146.0109,64.1632,0.0000,0.0000
146.0231,64.1866,0.0000,0.0000
146.0351,64.2099,0.0000,0.0000
146.0469,64.2331,0.0000,0.0000
146.0586,64.2562,0.0000,0.0000
146.0701,64.2791,0.0000,0.0000
146.0814,64.3019,0.0000,0.0000
146.0925,64.3247,0.0000,0.0000
146.1034,64.3473,0.0000,0.0000
146.1142,64.3698,0.0000,0.0000
146.1248,64.3921,0.0000,0.0000
146.1352,64.4144,0.0000,0.0000
146.1455,64.4365,0.0000,0.0000
146.1556,64.4585,0.0000,0.0000
146.1655,64.4804,0.0000,0.0000
146.1752,64.5021,0.0000,0.0000
146.1848,64.5237,0.0000,0.0000
146.1943,64.5452,0.0000,0.0000
146.2035,64.5666,0.0000,0.0000
146.2126,64.5879,0.0000,0.0000
146.2215,64.6090,0.0000,0.0000
146.2303,64.6300,0.0000,0.0000
146.2389,64.6508,0.0000,0.0000
146.2474,64.6715,0.0000,0.0000
146.2557,64.6921,0.0000,0.0000
146.2638,64.7126,0.0000,0.0000
146.2718,64.7329,0.0000,0.0000
146.2796,64.7531,0.0000,0.0000
146.2873,64.7731,0.0000,0.0000
146.2948,64.7930,0.0000,0.0000
146.3022,64.8128,0.0000,0.0000
146.3094,64.8324,0.0000,0.0000
146.3165,64.8519,0.0000,0.0000
146.3234,64.8713,0.0000,0.0000
146.3302,64.8905,0.0000,0.0000
146.3368,64.9096,0.0000,0.0000
146.3433,64.9285,0.0000,0.0000
146.3496,64.9473,0.0000,0.0000
146.3558,64.9660,0.0000,0.0000
146.3618,64.9845,0.0000,0.0000
146.3677,65.0029,0.0000,0.0000
146.3735,65.0211,0.0000,0.0000
146.3791,65.0392,0.0000,0.0000
146.3846,65.0571,0.0000,0.0000
146.3899,65.0749,0.0000,0.0000
146.3951,65.0926,0.0000,0.0000
146.4002,65.1101,0.0000,0.0000
146.4051,65.1275,0.0000,0.0000
146.4099,65.1447,0.0000,0.0000
146.4146,65.1618,0.0000,0.0000
146.4191,65.1787,0.0000,0.0000
146.4235,65.1955,0.0000,0.0000
146.4278,65.2121,0.0000,0.0000
146.4320,65.2286,0.0000,0.0000
146.4360,65.2450,0.0000,0.0000
146.4399,65.2612,0.0000,0.0000
146.4436,65.2773,0.0000,0.0000
146.4473,65.2932,0.0000,0.0000
146.4508,65.3089,0.0000,0.0000
146.4542,65.3246,0.0000,0.0000
146.4575,65.3400,0.0000,0.0000
146.4606,65.3554,0.0000,0.0000
146.4637,65.3705,0.0000,0.0000
146.4666,65.3856,0.0000,0.0000
146.4694,65.4005,0.0000,0.0000
146.4720,65.4152,0.0000,0.0000
146.4746,65.4298,0.0000,0.0000
146.4771,65.4443,0.0000,0.0000
146.4794,65.4586,0.0000,0.0000
146.4816,65.4727,0.0000,0.0000
146.4837,65.4867,0.0000,0.0000
146.4857,65.5006,0.0000,0.0000
146.4876,65.5143,0.0000,0.0000
146.4894,65.5279,0.0000,0.0000
146.4911,65.5413,0.0000,0.0000
146.4926,65.5546,0.0000,0.0000
146.4941,65.5677,0.0000,0.0000
146.4955,65.5807,0.0000,0.0000
146.4967,65.5936,0.0000,0.0000
146.4979,65.6063,0.0000,0.0000
146.4989,65.6188,0.0000,0.0000
146.4999,65.6312,0.0000,0.0000
146.5007,65.6435,0.0000,0.0000
146.5015,65.6556,0.0000,0.0000
146.5021,65.6676,0.0000,0.0000
146.5027,65.6794,0.0000,0.0000
146.5031,65.6911,0.0000,0.0000
146.5035,65.7027,0.0000,0.0000
146.5038,65.7141,0.0000,0.0000
146.5039,65.7254,0.0000,0.0000
146.5040,65.7365,0.0000,0.0000
146.5040,65.7475,0.0000,0.0000
146.5039,65.7583,0.0000,0.0000
146.5037,65.7691,0.0000,0.0000
146.5034,65.7804,0.0000,0.0000
