HighCarbIm_Fm1,CarbCountingInsulinIm_Fm1,VeryLowCarbIm_Fm1,LowCarbIm_Fm1,NormalCarbIm_Fm1,SlidingScaleInsulinIm_Fm1,
0.0,0.0,0.0,0.0,0.0,0.0,
-17.158726047988004,-3.2382360849851226,3.926675948802341,1.41225963274643,-3.812604229629323,-3.2382360849851226,
-33.9586912342903,-6.748131686285438,7.940576943635945,4.401580051544503,-6.860997999923875,-6.748131686285438,
-52.24419910185037,-10.487998266032058,11.529755968295456,5.606341662880197,-11.472133006313406,-10.487998266032058,
-71.93380365181149,-14.41205133110805,14.57822258262707,4.52837271896847,-17.658800080593892,-14.41205133110805,
-90.7289699012681,-18.474537585084043,17.98555873041342,6.012463862844667,-22.520953564219433,-18.474537585084043,
-110.27138827661113,-22.633892709028764,21.09639331847466,6.358918411023482,-28.22112435846319,-22.633892709028764,
-129.49867202544996,-26.855818064294112,24.336445615695926,7.623149531539458,-33.43883002131961,-26.855818064294112,
-150.87522900966977,-31.11409693634523,26.58546921970361,3.9777120636709977,-41.43404243120986,-31.11409693634523,
-172.16034004308463,-35.38999410113827,28.881569628401262,0.6689621995939037,-49.28357483942598,-35.38999410113827,
-192.48305818676704,-39.670984095006794,31.647723700077112,-0.20145619085793776,-55.848355200926385,-39.670984095006794,
-212.8887067706381,-43.94917159540778,34.37526442702792,-1.2824404027069116,-62.52574246846467,-43.94917159540778,
-232.52342690843116,-48.21988405545986,37.44713524720104,-0.6542016298231337,-68.20701085952138,-151.11394145496777,
-252.00903708067662,-52.48084923302823,40.58170157351546,0.24513893792156383,-73.70810287046275,-258.27871131452775,
-273.232981585299,-56.731454692097614,42.909064691501186,-3.0368398781139256,-81.50830798223107,-365.44348117408776,
-293.50427878068837,-52.5502150399268,45.69897498174812,-3.977317092854149,-88.05642957673734,-472.6082510336478,
-313.58186535169534,-48.367376283461994,48.577084758459726,-4.505392788017762,-94.36182387550754,-579.7730208932078,
-334.2885338180641,-44.50059294208054,51.16140594725681,-5.601018497771718,-101.25016014488547,-686.9377907527678,
-356.675306393815,-40.76484628417747,52.86449486639596,-10.421212788283626,-110.23937953362271,-794.1025606123278,
-378.6782394485656,-36.95223430506224,54.78046408579883,-13.974793418687856,-118.65295046526305,-901.2673304718878,
